time,c_left,c_top
0,0.045947835299132,-0.41613269506793
1,0.11431323832959,-0.88990057761902
2,0.0059890384783987,-1.2175192996825
3,-0.097489260751654,-1.6868382372687
4,-0.19832791682639,-2.3439752313056
5,-0.21140837248243,-3.1937368936727
6,-0.072308574340401,-4.1741327958009
7,0.1564444427383,-5.1399293773396
8,0.34619090107505,-5.8833705247241
9,0.41606119774648,-6.269632962423
10,0.37884147960301,-6.3431079211829
11,0.34898505285847,-6.2550604965187
12,0.50250193901533,-6.1415567937955
13,0.93962428838053,-6.0768924215935
14,1.592099858669,-6.0864775332846
15,2.3050898770779,-6.1707268845706
16,2.952220446578,-6.3207998618187
17,3.4753877010481,-6.5269315834286
18,3.869542530271,-6.7823405518941
19,4.1530950462285,-7.0817517885504
20,4.3459013824509,-7.4048938874289
21,4.4608400444311,-7.6947754879406
22,4.5056247326122,-7.8946525391293
23,4.488385264345,-8.0000529314989
24,4.4207963556617,-8.0429007521656
25,4.3172214404178,-8.0557371860758
26,4.192565117928,-8.0603094027517
27,4.0608324050112,-8.0712431383816
28,3.9345250590555,-8.0998603973111
29,3.8244205097723,-8.1543720962708
30,3.7390973838607,-8.2385091531777
31,3.6833590034128,-8.3511356372101
32,3.6557341514521,-8.487495830412
33,3.6477719507073,-8.6411470543269
34,3.6474625072142,-8.8056748046965
35,3.6444573676508,-8.9760736887634
36,3.6324722382271,-9.1497627685227
37,3.6071713981931,-9.32664650152
38,3.5626004194873,-9.5078687324795
39,3.4912849010588,-9.6941291957413
40,3.3888226826391,-9.8849510286244
41,3.2582174195004,-10.079347763745
42,3.109733956246,-10.27714609854
43,2.9569861350757,-10.479965943199
44,2.812952826919,-10.690969659242
45,2.6887177195987,-10.913514482065
46,2.595216443476,-11.15087751588
47,2.5453700132183,-11.407888051651
48,2.5522266276805,-11.690935772546
49,2.6232327886449,-12.002582766549
50,2.7569824636752,-12.334995442232
51,2.945438290378,-12.671716082778
52,3.1782696537325,-12.995978690783
53,3.4458719123297,-13.296599549288
54,3.7404512869968,-13.569188712394
55,4.0559900283933,-13.814643400128
56,4.3878780405368,-14.036889512435
57,4.7325787182375,-14.240890451456
